Team,Season,Venue,Wins,Loss,Win%,FT Made,FT Att,FT%,Win Rnk,Loss Rnk,Win% Rnk,FT Made Rnk,FT ATT Rnk,FT% Rnk,Total Points
Houston Rockets,2016-17,Road,25,16,0.61,806,1037,0.777,3,3,3,3,4,15,4653
Indiana Pacers,2016-17,Road,13,28,0.317,750,926,0.81,20,20,20,12,15,2,4235
LA Clippers,2016-17,Road,22,19,0.537,770,1043,0.738,6,6,6,8,3,26,4416
Los Angeles Lakers,2016-17,Road,9,32,0.22,688,911,0.755,28,28,28,22,17,20,4165
Memphis Grizzlies,2016-17,Road,19,22,0.463,720,921,0.782,10,10,10,16,16,13,4170
Miami Heat,2016-17,Road,18,23,0.439,598,827,0.723,14,14,14,28,28,30,4095
Milwaukee Bucks,2016-17,Road,19,22,0.463,646,861,0.75,10,10,10,25,26,25,4149
Minnesota Timberwolves,2016-17,Road,11,30,0.268,773,961,0.804,26,26,26,6,9,4,4287
New Orleans Pelicans,2016-17,Road,13,28,0.317,641,879,0.729,20,20,20,26,25,29,4143
New York Knicks,2016-17,Road,12,29,0.293,722,906,0.797,24,24,24,15,20,8,4256
Oklahoma City Thunder,2016-17,Road,19,22,0.463,791,1054,0.75,10,10,10,5,2,24,4250
Orlando Magic,2016-17,Road,13,28,0.317,627,835,0.751,20,20,20,27,27,23,4179
Philadelphia 76ers,2016-17,Road,11,30,0.268,680,889,0.765,26,26,26,23,23,18,4202
Phoenix Suns,2016-17,Road,9,32,0.22,820,1075,0.763,28,28,28,1,1,19,4334
Portland Trail Blazers,2016-17,Road,16,25,0.39,792,991,0.799,16,16,16,4,6,7,4344
Sacramento Kings,2016-17,Road,15,26,0.366,699,930,0.752,18,18,18,19,14,22,4123
San Antonio Spurs,2016-17,Road,30,11,0.732,724,899,0.805,2,2,2,14,21,3,4306
Toronto Raptors,2016-17,Road,23,18,0.561,744,946,0.786,4,4,4,13,12,10,4215
Utah Jazz,2016-17,Road,22,19,0.537,675,898,0.752,6,6,6,24,22,21,4112
Washington Wizards,2016-17,Road,19,22,0.463,697,908,0.768,10,10,10,20,18,16,4426
Atlanta Hawks,2017-18,Home,16,25,0.39,666,846,0.787,25,25,25,18,20,7,4295
Boston Celtics,2017-18,Home,27,14,0.659,646,844,0.765,11,11,11,22,21,18,4318
Brooklyn Nets,2017-18,Home,15,26,0.366,729,945,0.771,27,27,27,9,10,12,4340
Charlotte Hornets,2017-18,Home,21,20,0.512,857,1131,0.758,20,20,20,1,1,21,4507
Chicago Bulls,2017-18,Home,17,24,0.415,566,736,0.769,23,23,23,29,29,14,4236
Cleveland Cavaliers,2017-18,Home,29,12,0.707,743,968,0.768,7,7,7,8,9,17,4570
Dallas Mavericks,2017-18,Home,15,26,0.366,634,824,0.769,27,27,27,24,23,13,4257
Denver Nuggets,2017-18,Home,31,10,0.756,744,983,0.757,4,4,4,7,7,22,4576
Detroit Pistons,2017-18,Home,25,16,0.61,633,855,0.74,15,15,15,25,19,27,4335
Golden State Warriors,2017-18,Home,29,12,0.707,644,775,0.831,7,7,7,23,28,1,4638
Houston Rockets,2017-18,Home,34,7,0.829,840,1093,0.769,1,1,1,2,2,15,4690
Indiana Pacers,2017-18,Home,27,14,0.659,618,819,0.755,11,11,11,27,24,24,4384
LA Clippers,2017-18,Home,22,19,0.537,808,1088,0.743,19,19,19,3,3,26,4498
Los Angeles Lakers,2017-18,Home,20,21,0.488,657,914,0.719,21,21,21,19,12,30,4380
Memphis Grizzlies,2017-18,Home,16,25,0.39,697,901,0.774,25,25,25,13,13,10,4109
Miami Heat,2017-18,Home,26,15,0.634,609,801,0.76,14,14,14,28,27,19,4290
Milwaukee Bucks,2017-18,Home,25,16,0.61,791,1006,0.786,15,15,15,5,5,8,4378
Minnesota Timberwolves,2017-18,Home,30,11,0.732,792,999,0.793,5,5,5,4,6,4,4569
New Orleans Pelicans,2017-18,Home,24,17,0.585,685,867,0.79,17,17,17,15,17,6,4647
New York Knicks,2017-18,Home,19,22,0.463,620,802,0.773,22,22,22,26,26,11,4379
Oklahoma City Thunder,2017-18,Home,27,14,0.659,751,1035,0.726,11,11,11,6,4,29,4468
Orlando Magic,2017-18,Home,17,24,0.415,657,871,0.754,23,23,23,19,16,25,4253
Philadelphia 76ers,2017-18,Home,30,11,0.732,673,890,0.756,5,5,5,17,15,23,4576
Phoenix Suns,2017-18,Home,10,31,0.244,711,978,0.727,30,30,30,10,8,28,4230
Portland Trail Blazers,2017-18,Home,28,13,0.683,687,842,0.816,9,9,9,14,22,2,4379
Sacramento Kings,2017-18,Home,14,27,0.341,519,683,0.76,29,29,29,30,30,20,4128
San Antonio Spurs,2017-18,Home,33,8,0.805,649,817,0.794,3,3,3,21,25,3,4325
Toronto Raptors,2017-18,Home,34,7,0.829,678,858,0.79,1,1,1,16,18,5,4599
Utah Jazz,2017-18,Home,28,13,0.683,704,917,0.768,9,9,9,11,11,16,4283
Washington Wizards,2017-18,Home,23,18,0.561,702,901,0.779,18,18,18,12,13,9,4448
Atlanta Hawks,2017-18,Road,8,33,0.195,632,808,0.782,28,28,28,22,23,11,4180
Boston Celtics,2017-18,Road,28,13,0.683,662,853,0.776,3,3,3,19,17,14,4211
Brooklyn Nets,2017-18,Road,13,28,0.317,699,905,0.772,22,22,22,12,12,15,4401
Charlotte Hornets,2017-18,Road,15,26,0.366,799,1085,0.736,17,17,17,2,1,27,4367
Chicago Bulls,2017-18,Road,10,31,0.244,628,838,0.749,25,25,25,23,21,23,4204
Cleveland Cavaliers,2017-18,Road,21,20,0.512,745,941,0.792,7,7,7,5,9,8,4521
Dallas Mavericks,2017-18,Road,9,32,0.22,533,706,0.755,27,27,27,29,29,18,4133
Denver Nuggets,2017-18,Road,15,26,0.366,660,847,0.779,17,17,17,20,20,12,4444
Detroit Pistons,2017-18,Road,14,27,0.341,574,766,0.749,20,20,20,28,26,24,4174
Golden State Warriors,2017-18,Road,29,12,0.707,716,893,0.802,2,2,2,9,14,3,4666
Houston Rockets,2017-18,Road,31,10,0.756,769,968,0.794,1,1,1,3,7,7,4523
Indiana Pacers,2017-18,Road,21,20,0.512,607,754,0.805,7,7,7,25,28,2,4272
LA Clippers,2017-18,Road,20,21,0.488,748,1007,0.743,11,11,11,4,2,26,4439
Los Angeles Lakers,2017-18,Road,15,26,0.366,707,996,0.71,17,17,17,11,3,29,4482
Memphis Grizzlies,2017-18,Road,6,35,0.146,664,831,0.799,30,30,30,18,22,5,4036
Miami Heat,2017-18,Road,18,23,0.439,600,800,0.75,15,15,15,27,25,22,4190
Milwaukee Bucks,2017-18,Road,19,22,0.463,708,909,0.779,14,14,14,10,11,13,4353
Minnesota Timberwolves,2017-18,Road,17,24,0.415,800,981,0.815,16,16,16,1,5,1,4411
New Orleans Pelicans,2017-18,Road,24,17,0.585,639,849,0.753,5,5,5,21,18,20,4514
New York Knicks,2017-18,Road,10,31,0.244,605,755,0.801,25,25,25,26,27,4,4187
Oklahoma City Thunder,2017-18,Road,21,20,0.512,670,950,0.705,7,7,7,17,8,30,4376
Orlando Magic,2017-18,Road,8,33,0.195,614,807,0.761,28,28,28,24,24,17,4226
Philadelphia 76ers,2017-18,Road,22,19,0.537,732,978,0.748,6,6,6,8,6,25,4428
Phoenix Suns,2017-18,Road,11,30,0.268,742,984,0.754,24,24,24,7,4,19,4292
Portland Trail Blazers,2017-18,Road,21,20,0.512,685,873,0.785,7,7,7,13,16,10,4282
Sacramento Kings,2017-18,Road,13,28,0.317,489,688,0.711,22,22,22,30,30,28,3976
San Antonio Spurs,2017-18,Road,14,27,0.341,675,898,0.752,20,20,20,15,13,21,4099
Toronto Raptors,2017-18,Road,25,16,0.61,744,932,0.798,4,4,4,6,10,6,4557
Utah Jazz,2017-18,Road,20,21,0.488,671,849,0.79,11,11,11,16,18,9,4257
Washington Wizards,2017-18,Road,20,21,0.488,676,885,0.764,11,11,11,14,15,16,4294
Atlanta Hawks,2018-19,Home,17,23,0.425,717,940,0.763,26,26,26,13,12,19,4613
Boston Celtics,2018-19,Home,28,12,0.7,625,777,0.804,10,10,10,28,30,3,4570
Brooklyn Nets,2018-19,Home,22,18,0.55,770,1028,0.749,20,20,20,6,5,23,4554
Charlotte Hornets,2018-19,Home,25,15,0.625,769,957,0.804,13,15,15,7,10,4,4525
Chicago Bulls,2018-19,Home,9,30,0.231,611,780,0.783,29,29,29,29,29,13,4065
Cleveland Cavaliers,2018-19,Home,13,26,0.333,637,796,0.8,27,27,27,27,28,5,4125
Dallas Mavericks,2018-19,Home,23,17,0.575,799,1079,0.741,19,19,19,4,3,24,4403
Denver Nuggets,2018-19,Home,33,7,0.825,669,870,0.769,1,2,2,22,22,17,4580
Detroit Pistons,2018-19,Home,25,14,0.641,691,936,0.738,13,12,13,17,13,25,4264
Golden State Warriors,2018-19,Home,29,11,0.725,662,830,0.798,8,8,8,23,25,7,4713
Houston Rockets,2018-19,Home,30,10,0.75,843,1065,0.792,5,6,6,3,4,10,4639
Indiana Pacers,2018-19,Home,29,11,0.725,610,812,0.751,8,8,8,30,27,22,4360
LA Clippers,2018-19,Home,25,15,0.625,881,1106,0.797,13,15,15,2,2,8,4691
Los Angeles Lakers,2018-19,Home,21,18,0.538,648,935,0.693,22,20,22,24,14,29,4337
Memphis Grizzlies,2018-19,Home,20,19,0.513,710,929,0.764,23,23,23,14,16,18,4030
Miami Heat,2018-19,Home,18,22,0.45,638,924,0.69,25,25,25,26,18,30,4225
Milwaukee Bucks,2018-19,Home,32,6,0.842,680,874,0.778,2,1,1,20,21,14,4555
Minnesota Timberwolves,2018-19,Home,25,14,0.641,779,991,0.786,13,12,13,5,9,11,4474
New Orleans Pelicans,2018-19,Home,19,21,0.475,726,944,0.769,24,24,24,11,11,16,4617
New York Knicks,2018-19,Home,8,31,0.205,708,932,0.76,30,30,30,15,15,21,4140
Oklahoma City Thunder,2018-19,Home,26,14,0.65,725,1022,0.709,12,12,12,12,7,28,4582
Orlando Magic,2018-19,Home,25,16,0.61,643,820,0.784,13,17,17,25,26,12,4483
Philadelphia 76ers,2018-19,Home,30,10,0.75,907,1145,0.792,5,6,6,1,1,9,4723
Phoenix Suns,2018-19,Home,12,29,0.293,689,890,0.774,28,28,28,18,20,15,4410
Portland Trail Blazers,2018-19,Home,30,9,0.769,747,927,0.806,5,3,5,10,17,2,4595
Sacramento Kings,2018-19,Home,24,16,0.6,671,924,0.726,18,17,18,21,18,27,4583
San Antonio Spurs,2018-19,Home,31,9,0.775,698,852,0.819,3,3,3,16,24,1,4520
Toronto Raptors,2018-19,Home,31,9,0.775,687,861,0.798,3,3,3,19,23,6,4604
Utah Jazz,2018-19,Home,28,12,0.7,753,1025,0.735,10,10,10,9,6,26,4500
Washington Wizards,2018-19,Home,22,18,0.55,764,1003,0.762,20,20,20,8,8,20,4663
Atlanta Hawks,2018-19,Road,12,28,0.3,685,921,0.744,22,23,23,17,13,23,4440
Boston Celtics,2018-19,Road,20,20,0.5,634,784,0.809,7,10,10,27,29,4,4422
Brooklyn Nets,2018-19,Road,17,22,0.436,744,1008,0.738,14,13,14,5,3,25,4296
Charlotte Hornets,2018-19,Road,12,27,0.308,687,871,0.789,22,20,22,15,21,9,4214
Chicago Bulls,2018-19,Road,13,27,0.325,676,856,0.79,20,20,20,21,24,7,4249
Cleveland Cavaliers,2018-19,Road,6,35,0.146,679,863,0.787,30,30,30,19,23,11,4255
Dallas Mavericks,2018-19,Road,8,31,0.205,684,924,0.74,27,27,27,18,11,24,4181
Denver Nuggets,2018-19,Road,20,19,0.513,589,785,0.75,7,7,7,28,28,21,4180
Detroit Pistons,2018-19,Road,14,26,0.35,672,894,0.752,19,18,19,22,19,20,4208
Golden State Warriors,2018-19,Road,26,13,0.667,638,792,0.806,2,1,1,26,27,5,4577
Houston Rockets,2018-19,Road,22,18,0.55,706,895,0.789,4,4,4,13,18,8,4442
Indiana Pacers,2018-19,Road,18,22,0.45,651,869,0.749,13,13,13,25,22,22,4266
LA Clippers,2018-19,Road,22,18,0.55,931,1175,0.792,4,4,4,1,1,6,4504
Los Angeles Lakers,2018-19,Road,15,26,0.366,663,937,0.708,15,18,18,23,10,29,4614
Memphis Grizzlies,2018-19,Road,12,28,0.3,687,886,0.775,22,23,23,15,20,13,4108
Miami Heat,2018-19,Road,20,19,0.513,559,801,0.698,7,7,7,29,26,30,4118
Milwaukee Bucks,2018-19,Road,27,14,0.659,736,954,0.771,1,2,2,6,9,16,4772
Minnesota Timberwolves,2018-19,Road,11,29,0.275,752,955,0.787,25,25,25,3,7,10,4428
New Orleans Pelicans,2018-19,Road,13,27,0.325,720,955,0.754,20,20,20,10,7,19,4613
New York Knicks,2018-19,Road,7,33,0.175,736,967,0.761,28,29,29,6,6,17,4137
Oklahoma City Thunder,2018-19,Road,20,19,0.513,690,968,0.713,7,7,7,14,5,28,4434
Orlando Magic,2018-19,Road,15,24,0.385,551,713,0.773,15,15,15,30,30,15,4079
Philadelphia 76ers,2018-19,Road,19,20,0.487,797,1056,0.755,12,10,12,2,2,18,4382
Phoenix Suns,2018-19,Road,7,32,0.179,722,919,0.786,28,28,28,9,14,12,4183
Portland Trail Blazers,2018-19,Road,20,20,0.5,752,914,0.823,7,10,10,3,15,1,4452
Sacramento Kings,2018-19,Road,15,25,0.375,657,908,0.724,15,16,16,24,16,27,4520
San Antonio Spurs,2018-19,Road,15,25,0.375,678,828,0.819,15,16,16,20,25,2,4419
Toronto Raptors,2018-19,Road,25,15,0.625,727,898,0.81,3,3,3,8,17,3,4543
Utah Jazz,2018-19,Road,21,18,0.538,712,972,0.733,6,4,6,12,4,26,4297
Washington Wizards,2018-19,Road,10,30,0.25,716,924,0.775,26,26,26,11,11,14,4467
