,Team,Season,Venue,Wins,Loss,Win%,FT Made,FT Att,FT%,Win Rnk,Loss Rnk,Win% Rnk,FT Made Rnk,FT ATT Rnk,FT% Rnk
124,Chicago Bulls,2014-15,Home,27,14,0.659,817,1036,0.789,12,12,12,2,6,3
125,Cleveland Cavaliers,2014-15,Home,31,10,0.756,701,940,0.746,5,5,5,16,17,19
126,Dallas Mavericks,2014-15,Home,27,14,0.659,754,1002,0.752,12,12,12,10,11,16
127,Denver Nuggets,2014-15,Home,19,22,0.463,809,1086,0.745,21,21,21,3,2,20
128,Detroit Pistons,2014-15,Home,18,23,0.439,687,978,0.702,24,24,24,20,13,29
129,Golden State Warriors,2014-15,Home,39,2,0.951,656,850,0.772,1,1,1,26,25,9
130,Houston Rockets,2014-15,Home,30,11,0.732,764,1076,0.71,7,7,7,9,4,27
131,Indiana Pacers,2014-15,Home,23,18,0.561,671,919,0.73,15,15,15,22,21,24
132,Los Angeles Clippers,2014-15,Home,30,11,0.732,768,1080,0.711,7,7,7,8,3,26
133,Los Angeles Lakers,2014-15,Home,12,29,0.293,735,1021,0.72,27,27,27,12,8,25
134,Memphis Grizzlies,2014-15,Home,31,10,0.756,736,930,0.791,5,5,5,11,19,2
135,Miami Heat,2014-15,Home,20,21,0.488,771,1026,0.751,20,20,20,7,7,17
136,Milwaukee Bucks,2014-15,Home,23,18,0.561,655,847,0.773,15,15,15,27,26,8
137,Minnesota Timberwolves,2014-15,Home,9,32,0.22,806,1042,0.774,30,30,30,4,5,7
138,New Orleans Pelicans,2014-15,Home,28,13,0.683,689,922,0.747,11,11,11,19,20,18
139,New York Knicks,2014-15,Home,10,31,0.244,580,757,0.766,29,29,29,30,30,10
140,Oklahoma City Thunder,2014-15,Home,29,12,0.707,795,1014,0.784,9,9,9,5,9,6
141,Orlando Magic,2014-15,Home,13,28,0.317,604,813,0.743,26,26,26,29,28,21
142,Philadelphia 76ers,2014-15,Home,12,29,0.293,707,1007,0.702,27,27,27,13,10,30
143,Phoenix Suns,2014-15,Home,22,19,0.537,670,890,0.753,17,17,17,25,23,15
144,Portland Trail Blazers,2014-15,Home,32,9,0.78,671,839,0.8,4,4,4,22,27,1
145,Sacramento Kings,2014-15,Home,18,23,0.439,880,1157,0.761,24,24,24,1,1,13
146,San Antonio Spurs,2014-15,Home,33,8,0.805,692,908,0.762,3,3,3,18,22,12
147,Toronto Raptors,2014-15,Home,27,14,0.659,775,983,0.788,12,12,12,6,12,4
148,Utah Jazz,2014-15,Home,21,20,0.512,682,961,0.71,18,18,18,21,14,28
149,Washington Wizards,2014-15,Home,29,12,0.707,705,932,0.756,9,9,9,15,18,14
150,Atlanta Hawks,2014-15,Road,25,16,0.61,678,880,0.77,4,4,4,14,18,8
151,Boston Celtics,2014-15,Road,19,22,0.463,649,869,0.747,11,11,11,23,21,19
152,Brooklyn Nets,2014-15,Road,19,22,0.463,662,875,0.757,11,11,11,18,20,14
153,Charlotte Hornets,2014-15,Road,14,27,0.341,691,907,0.762,22,22,22,13,14,13
154,Chicago Bulls,2014-15,Road,23,18,0.561,801,1031,0.777,6,6,6,4,4,6
155,Cleveland Cavaliers,2014-15,Road,22,19,0.537,752,994,0.757,8,8,8,6,7,15
156,Dallas Mavericks,2014-15,Road,23,18,0.561,632,841,0.751,6,6,6,24,26,18
157,Denver Nuggets,2014-15,Road,11,30,0.268,653,905,0.722,25,25,25,22,15,25
158,Detroit Pistons,2014-15,Road,14,27,0.341,605,860,0.703,22,22,22,27,23,29
159,Golden State Warriors,2014-15,Road,28,13,0.683,657,859,0.765,1,1,1,19,24,10
160,Houston Rockets,2014-15,Road,26,15,0.634,761,1057,0.72,2,2,2,5,3,26
161,Indiana Pacers,2014-15,Road,15,26,0.366,702,898,0.782,21,21,21,10,16,4
162,Los Angeles Clippers,2014-15,Road,26,15,0.634,700,987,0.709,2,2,2,11,8,28
163,Los Angeles Lakers,2014-15,Road,9,32,0.22,698,914,0.764,27,27,27,12,12,11
164,Memphis Grizzlies,2014-15,Road,24,17,0.585,709,939,0.755,5,5,5,8,11,17
165,Miami Heat,2014-15,Road,17,24,0.415,667,914,0.73,15,15,15,17,12,22
166,Milwaukee Bucks,2014-15,Road,18,23,0.439,657,887,0.741,14,14,14,19,17,20
167,Minnesota Timberwolves,2014-15,Road,7,34,0.171,832,1068,0.779,28,28,28,2,2,5
168,New Orleans Pelicans,2014-15,Road,17,24,0.415,656,868,0.756,15,15,15,21,22,16
169,New York Knicks,2014-15,Road,7,34,0.171,631,818,0.771,28,28,28,25,28,7
170,Oklahoma City Thunder,2014-15,Road,16,25,0.39,729,1006,0.725,20,20,20,7,6,24
171,Orlando Magic,2014-15,Road,12,29,0.293,537,752,0.714,24,24,24,30,29,27
172,Philadelphia 76ers,2014-15,Road,6,35,0.146,613,946,0.648,30,30,30,26,10,30
173,Phoenix Suns,2014-15,Road,17,24,0.415,673,877,0.767,15,15,15,16,19,9
174,Portland Trail Blazers,2014-15,Road,19,22,0.463,601,750,0.801,11,11,11,28,30,1
175,Sacramento Kings,2014-15,Road,11,30,0.268,949,1243,0.763,25,25,25,1,1,12
176,San Antonio Spurs,2014-15,Road,22,19,0.537,676,846,0.799,8,8,8,15,25,2
177,Toronto Raptors,2014-15,Road,22,19,0.537,810,1031,0.786,8,8,8,3,4,3
178,Utah Jazz,2014-15,Road,17,24,0.415,709,968,0.732,15,15,15,8,9,21
179,Washington Wizards,2014-15,Road,17,24,0.415,600,826,0.726,15,15,15,29,27,23
180,Atlanta Hawks,2015-16,Home,27,14,0.659,577,734,0.786,11,11,11,30,30,6
181,Boston Celtics,2015-16,Home,28,13,0.683,775,987,0.785,8,8,8,11,14,7
182,Brooklyn Nets,2015-16,Home,14,27,0.341,621,827,0.751,26,26,26,29,29,20
183,Charlotte Hornets,2015-16,Home,30,11,0.732,815,1031,0.79,6,6,6,5,10,5
184,Chicago Bulls,2015-16,Home,26,15,0.634,683,872,0.783,12,12,12,24,25,10
185,Cleveland Cavaliers,2015-16,Home,33,8,0.805,683,903,0.756,3,3,3,24,23,16
186,Dallas Mavericks,2015-16,Home,23,18,0.561,780,957,0.815,17,17,17,10,19,2
187,Denver Nuggets,2015-16,Home,18,23,0.439,853,1103,0.773,23,23,23,4,4,13
188,Detroit Pistons,2015-16,Home,26,15,0.634,744,1065,0.699,12,12,12,13,7,28
189,Golden State Warriors,2015-16,Home,39,2,0.951,700,894,0.783,2,2,2,23,24,11
190,Houston Rockets,2015-16,Home,23,18,0.561,814,1165,0.699,17,17,17,6,1,27
191,Indiana Pacers,2015-16,Home,26,15,0.634,717,948,0.756,12,12,12,18,20,17
192,LA Clippers,2015-16,Home,29,12,0.707,735,1062,0.692,7,7,7,15,8,29
193,Los Angeles Lakers,2015-16,Home,12,29,0.293,803,1023,0.785,29,29,29,7,11,8
194,Memphis Grizzlies,2015-16,Home,26,15,0.634,862,1086,0.794,12,12,12,3,6,4
195,Miami Heat,2015-16,Home,28,13,0.683,767,1035,0.741,8,8,8,12,9,23
196,Milwaukee Bucks,2015-16,Home,23,18,0.561,729,975,0.748,17,17,17,17,15,22
197,Minnesota Timberwolves,2015-16,Home,14,27,0.341,899,1146,0.784,26,26,26,1,3,9
198,New Orleans Pelicans,2015-16,Home,21,20,0.512,715,922,0.775,22,22,22,19,22,12
199,New York Knicks,2015-16,Home,18,23,0.439,703,851,0.826,23,23,23,22,27,1
200,Oklahoma City Thunder,2015-16,Home,32,9,0.78,784,1017,0.771,4,4,4,9,12,15
201,Orlando Magic,2015-16,Home,23,18,0.561,650,864,0.752,17,17,17,27,26,19
202,Philadelphia 76ers,2015-16,Home,7,34,0.171,647,959,0.675,30,30,30,28,18,30
203,Phoenix Suns,2015-16,Home,14,27,0.341,730,974,0.749,26,26,26,16,16,21
204,Portland Trail Blazers,2015-16,Home,28,13,0.683,705,935,0.754,8,8,8,21,21,18
205,Sacramento Kings,2015-16,Home,18,23,0.439,796,1094,0.728,23,23,23,8,5,26
206,San Antonio Spurs,2015-16,Home,40,1,0.976,682,850,0.802,1,1,1,26,28,3
207,Toronto Raptors,2015-16,Home,32,9,0.78,887,1150,0.771,4,4,4,2,2,14
208,Utah Jazz,2015-16,Home,24,17,0.585,743,1013,0.733,16,16,16,14,13,25
209,Washington Wizards,2015-16,Home,22,19,0.537,714,968,0.738,21,21,21,20,17,24
210,Atlanta Hawks,2015-16,Road,21,20,0.512,705,904,0.78,7,7,7,14,15,9
211,Boston Celtics,2015-16,Road,20,21,0.488,745,942,0.791,8,8,8,7,10,5
212,Brooklyn Nets,2015-16,Road,7,34,0.171,665,872,0.763,28,28,28,20,24,16
213,Charlotte Hornets,2015-16,Road,18,23,0.439,719,910,0.79,13,13,13,9,14,6
214,Chicago Bulls,2015-16,Road,16,25,0.39,671,848,0.791,16,16,16,18,28,4
215,Cleveland Cavaliers,2015-16,Road,24,17,0.585,650,880,0.739,3,3,3,26,22,24
216,Dallas Mavericks,2015-16,Road,19,22,0.463,674,874,0.771,10,10,10,17,23,13
217,Denver Nuggets,2015-16,Road,15,26,0.366,660,871,0.758,20,20,20,22,26,17
218,Detroit Pistons,2015-16,Road,18,23,0.439,655,1030,0.636,13,13,13,25,6,30
219,Golden State Warriors,2015-16,Road,34,7,0.829,666,896,0.743,1,1,1,19,18,23
220,Houston Rockets,2015-16,Road,18,23,0.439,857,1242,0.69,13,13,13,1,1,29
221,Indiana Pacers,2015-16,Road,19,22,0.463,713,924,0.772,10,10,10,12,13,12
222,LA Clippers,2015-16,Road,24,17,0.585,755,1090,0.693,3,3,3,6,2,28
223,Los Angeles Lakers,2015-16,Road,5,36,0.122,780,1005,0.776,29,29,29,5,7,11
224,Memphis Grizzlies,2015-16,Road,16,25,0.39,722,938,0.77,16,16,16,8,11,14
225,Miami Heat,2015-16,Road,20,21,0.488,639,854,0.748,8,8,8,27,27,21
226,Milwaukee Bucks,2015-16,Road,10,31,0.244,663,888,0.747,25,25,25,21,20,22
227,Minnesota Timberwolves,2015-16,Road,15,26,0.366,854,1067,0.8,20,20,20,2,3,2
228,New Orleans Pelicans,2015-16,Road,9,32,0.22,700,901,0.777,26,26,26,16,17,10
229,New York Knicks,2015-16,Road,14,27,0.341,708,902,0.785,23,23,23,13,16,7
230,Oklahoma City Thunder,2015-16,Road,23,18,0.561,832,1050,0.792,6,6,6,3,4,3
231,Orlando Magic,2015-16,Road,12,29,0.293,599,785,0.763,24,24,24,30,30,15
232,Philadelphia 76ers,2015-16,Road,3,38,0.073,637,891,0.715,30,30,30,28,19,27
233,Phoenix Suns,2015-16,Road,9,32,0.22,701,931,0.753,26,26,26,15,12,20
