,Team,Season,Venue,Wins,Loss,Win%,FT Made,FT Att,FT%,Win Rnk,Loss Rnk,Win% Rnk,FT Made Rnk,FT ATT Rnk,FT% Rnk
377,Minnesota Timberwolves,2018-19,Home,24,14,0.632,762,970,0.786,15,12,15,6,9,11
378,New Orleans Pelicans,2018-19,Home,19,21,0.475,726,944,0.769,24,24,24,11,10,16
379,New York Knicks,2018-19,Home,8,31,0.205,708,932,0.76,30,30,30,15,14,20
380,Oklahoma City Thunder,2018-19,Home,25,14,0.641,710,1000,0.71,12,12,12,13,6,28
381,Orlando Magic,2018-19,Home,24,16,0.6,624,795,0.785,15,17,17,28,27,12
382,Philadelphia 76ers,2018-19,Home,30,9,0.769,893,1127,0.792,5,3,5,1,1,10
383,Phoenix Suns,2018-19,Home,11,29,0.275,672,869,0.773,28,28,28,20,21,15
384,Portland Trail Blazers,2018-19,Home,30,9,0.769,747,927,0.806,5,3,5,8,16,2
385,Sacramento Kings,2018-19,Home,23,16,0.59,664,914,0.726,18,17,18,21,19,27
386,San Antonio Spurs,2018-19,Home,31,9,0.775,698,852,0.819,3,3,3,16,23,1
387,Toronto Raptors,2018-19,Home,31,9,0.775,687,861,0.798,3,3,3,18,22,6
388,Utah Jazz,2018-19,Home,27,12,0.692,737,1000,0.737,11,10,11,10,6,26
389,Washington Wizards,2018-19,Home,22,17,0.564,745,981,0.759,20,20,20,9,8,21
390,Atlanta Hawks,2018-19,Road,12,27,0.308,664,890,0.746,22,21,22,19,16,23
391,Boston Celtics,2018-19,Road,19,20,0.487,620,768,0.807,11,11,11,27,29,4
392,Brooklyn Nets,2018-19,Road,17,22,0.436,744,1008,0.738,14,13,14,4,3,25
393,Charlotte Hornets,2018-19,Road,12,27,0.308,687,871,0.789,22,21,22,15,19,9
394,Chicago Bulls,2018-19,Road,13,27,0.325,676,856,0.79,20,21,21,17,23,7
395,Cleveland Cavaliers,2018-19,Road,6,33,0.154,653,831,0.786,30,30,30,21,24,11
396,Dallas Mavericks,2018-19,Road,8,31,0.205,684,924,0.74,27,27,27,16,9,24
397,Denver Nuggets,2018-19,Road,20,19,0.513,589,785,0.75,7,8,8,28,28,20
398,Detroit Pistons,2018-19,Road,14,25,0.359,647,863,0.75,17,17,17,23,22,21
399,Golden State Warriors,2018-19,Road,25,13,0.658,634,787,0.806,2,1,1,26,27,5
400,Houston Rockets,2018-19,Road,22,18,0.55,706,895,0.789,4,4,4,11,14,8
401,Indiana Pacers,2018-19,Road,18,22,0.45,651,869,0.749,13,13,13,22,21,22
402,LA Clippers,2018-19,Road,22,18,0.55,931,1175,0.792,4,4,4,1,1,6
